"emp_no","first_name","last_name","from_date","title","salary","to_date"
10355,"Satyanarayana","Cochrane","1996-01-26","Staff",70434,"9999-01-01"
10356,"Vasilis","Standera","1995-06-26","Senior Staff",45376,"9999-01-01"
10364,"Nakhoon","Dengi","1985-11-14","Senior Engineer",51401,"9999-01-01"
10372,"Anneli","Frijda","1985-07-30","Technique Leader",54505,"9999-01-01"
10387,"Parto","Wrigley","1999-01-07","Senior Staff",61374,"9999-01-01"
10396,"Sibyl","Rahier","1986-01-11","Senior Engineer",40393,"9999-01-01"
10402,"Volkmar","Ebeling","1987-01-02","Technique Leader",40000,"9999-01-01"
10404,"Prodip","Rosti","1996-08-28","Senior Engineer",51647,"9999-01-01"
10426,"Arunas","Luce","1985-07-06","Technique Leader",65757,"9999-01-01"
10429,"Martien","Improta","1988-09-23","Senior Engineer",40000,"9999-01-01"
10432,"Hisao","Tiemann","1996-08-12","Senior Staff",40000,"9999-01-01"
10451,"Bodh","Ranta","1998-03-12","Senior Engineer",46275,"9999-01-01"
10453,"Tsvetan","Matzel","1993-04-02","Senior Staff",40000,"9999-01-01"
10463,"Ung","Zaiane","1994-02-17","Staff",66480,"9999-01-01"
10486,"Amstein","Kossowski","1996-10-07","Senior Engineer",71692,"9999-01-01"
10494,"Yakkov","Servieres","2000-12-17","Senior Engineer",50094,"9999-01-01"
10504,"Xiong","Varker","1999-10-19","Staff",43931,"9999-01-01"
10512,"Udi","Gihr","1998-11-28","Senior Staff",40000,"9999-01-01"
10522,"Marke","Cesareni","1995-12-12","Senior Staff",40000,"9999-01-01"
10548,"Ramalingam","Gunderson","1993-07-04","Senior Staff",90631,"9999-01-01"
10564,"Jianhao","Thisen","2000-11-22","Senior Engineer",46660,"9999-01-01"
10623,"Aleksander","Danlos","1999-01-15","Senior Engineer",60268,"9999-01-01"
10628,"Krisda","Krogh","2001-03-14","Senior Engineer",41650,"9999-01-01"
10631,"Inderjeet","Chaudhuri","1994-10-18","Engineer",40000,"9999-01-01"
10642,"Hirochika","Narlikar","1998-10-05","Engineer",40000,"9999-01-01"
10653,"Otmar","Feinberg","1987-04-30","Senior Engineer",40000,"9999-01-01"
10671,"Parviz","Rebaine","2001-09-13","Senior Staff",74037,"9999-01-01"
10676,"Valeri","Danley","1999-09-04","Engineer",58226,"9999-01-01"
10693,"Berhard","Daescu","1991-01-08","Senior Staff",40000,"9999-01-01"
10702,"Bader","Szemeredi","1991-01-14","Senior Engineer",46581,"9999-01-01"
10718,"Adib","Rullman","1997-07-21","Senior Engineer",75473,"9999-01-01"
10726,"Zita","Minakawa","2001-02-24","Senior Engineer",46315,"9999-01-01"
10734,"Sachar","Erdi","1995-12-19","Engineer",47377,"9999-01-01"
10745,"Poorav","Ranze","1997-01-22","Senior Engineer",40000,"9999-01-01"
10749,"King","Brendel","1990-09-26","Senior Engineer",60829,"9999-01-01"
10767,"Monique","Doering","1997-07-15","Staff",40651,"9999-01-01"
10768,"Ishfaq","Candan","1990-07-04","Senior Engineer",65717,"9999-01-01"
10778,"Selwyn","Merey","1986-07-04","Senior Staff",64996,"9999-01-01"
10791,"Tadahiko","Sgarro","1995-07-31","Senior Engineer",40000,"9999-01-01"
10795,"Supot","Naudin","1999-05-03","Senior Staff",84206,"9999-01-01"
10808,"Chenxi","Leijenhorst","1987-03-07","Senior Engineer",40000,"9999-01-01"
10835,"Tomoyuki","Kermarrec","1995-08-22","Engineer",40000,"9999-01-01"
10836,"Jianhua","Leivant","1987-08-10","Senior Staff",65502,"9999-01-01"
10844,"Dipayan","Koprowski","1997-04-25","Engineer",40000,"9999-01-01"
10847,"Theirry","Danley","1992-07-24","Senior Staff",40000,"9999-01-01"
10848,"Fen","Bratsberg","1992-04-20","Senior Engineer",50475,"9999-01-01"
10878,"Lakshmi","Deville","1997-04-25","Staff",72102,"9999-01-01"
10879,"Muzhong","Chleq","1985-08-15","Senior Engineer",65651,"9999-01-01"
10883,"Shimshon","Champarnaud","1996-12-28","Engineer",40000,"9999-01-01"
10909,"Georgi","Atchley","2000-12-26","Senior Engineer",80935,"9999-01-01"
10921,"Mara","Bahi","1995-07-27","Senior Engineer",72601,"9999-01-01"
10924,"Hironoby","Atchley","1997-08-14","Senior Staff",84783,"9999-01-01"
10927,"Gal","Scallan","1993-09-12","Senior Staff",51819,"9999-01-01"
10936,"Mountaz","Schicker","1996-05-08","Senior Staff",40000,"9999-01-01"
10943,"Berna","Skafidas","1999-05-22","Senior Engineer",45890,"9999-01-01"
10965,"Eckart","Braunschweig","1986-07-29","Senior Staff",61654,"9999-01-01"
10969,"Premal","Noriega","1994-05-12","Senior Engineer",40000,"9999-01-01"
10974,"Muneo","Papsdorf","1999-05-17","Senior Engineer",56005,"9999-01-01"
10986,"Masako","Schiper","1985-10-11","Technique Leader",43900,"9999-01-01"
10988,"Chinya","Deyuan","1985-06-19","Senior Engineer",54174,"9999-01-01"
10989,"Sumali","Candan","1991-07-20","Senior Staff",46406,"9999-01-01"
10990,"Shin","Foote","1990-08-06","Technique Leader",40000,"9999-01-01"
11009,"Alper","Axelband","1993-09-09","Senior Staff",75111,"9999-01-01"
11012,"Taegyun","Speckmann","1996-07-06","Staff",72092,"9999-01-01"
11019,"Leon","Huttel","1997-05-24","Senior Engineer",69387,"9999-01-01"
11021,"Srinidhi","Henders","1998-02-02","Staff",62670,"9999-01-01"
11027,"Remzi","Cappello","1996-05-06","Senior Engineer",40000,"9999-01-01"
11031,"Ottavia","Walstra","1993-10-24","Senior Staff",71654,"9999-01-01"
11037,"Lansing","Maliniak","1995-01-28","Senior Engineer",40000,"9999-01-01"
11038,"Jinya","Beidas","1992-07-15","Senior Staff",44993,"9999-01-01"
11042,"Gou","Breugel","2000-06-21","Senior Engineer",40000,"9999-01-01"
11048,"Jaques","Demke","1999-05-27","Senior Staff",65697,"9999-01-01"
11050,"Elvis","Katiyar","1991-05-06","Senior Staff",52251,"9999-01-01"
11051,"Przemyslawa","Erol","2000-03-26","Senior Engineer",40000,"9999-01-01"
11070,"Adib","Raney","1991-07-24","Senior Engineer",40000,"9999-01-01"
11081,"Barry","Boyle","1994-06-17","Senior Staff",65686,"9999-01-01"
11085,"Hailing","Thummel","1996-02-10","Senior Engineer",66437,"9999-01-01"
11100,"Berna","Cochrane","1993-10-13","Senior Staff",40000,"9999-01-01"
11106,"Aris","Iwayama","1997-08-30","Senior Engineer",71446,"9999-01-01"
11112,"Boaz","Mukaidono","1995-04-28","Staff",40000,"9999-01-01"
11113,"Shahab","Peng","1991-11-30","Senior Staff",66401,"9999-01-01"
11121,"Vugranam","Kakkad","1999-11-01","Senior Engineer",40000,"9999-01-01"
11133,"Nalini","Azulay","1994-03-06","Technique Leader",40000,"9999-01-01"
11134,"Sachar","Rajcani","2002-05-19","Senior Engineer",58731,"9999-01-01"
11137,"Hugh","Luca","1995-03-16","Engineer",40000,"9999-01-01"
11139,"Bogdan","Homond","1995-05-11","Senior Staff",63596,"9999-01-01"
11146,"Ishfaq","Masand","1997-08-21","Senior Staff",96019,"9999-01-01"
11148,"Zhanqiu","Botman","1997-02-08","Senior Staff",56344,"9999-01-01"
11162,"Kauko","Narlikar","1990-03-28","Senior Engineer",69873,"9999-01-01"
11180,"Mitsuyuki","Bojadziev","1992-06-10","Senior Engineer",40000,"9999-01-01"
11197,"Tadahiro","Fordan","1989-09-12","Senior Staff",88741,"9999-01-01"
11204,"Diederik","Covnot","1985-09-18","Technique Leader",40000,"9999-01-01"
11207,"Saeed","Gips","1999-01-31","Engineer",49728,"9999-01-01"
11208,"Saniya","Valtorta","1994-11-17","Technique Leader",83660,"9999-01-01"
11211,"Yurij","Rissland","1985-09-17","Senior Engineer",72668,"9999-01-01"
11217,"Kellie","Mawatari","1990-03-11","Senior Engineer",40000,"9999-01-01"
11232,"Hidefumi","Crelier","2000-08-01","Senior Staff",43863,"9999-01-01"
11240,"Kiam","Condotta","1997-01-06","Engineer",61739,"9999-01-01"
11249,"Randi","Cyre","1994-09-22","Engineer",43324,"9999-01-01"
11251,"Bezalel","Chinal","1993-06-15","Senior Staff",69432,"9999-01-01"
11268,"Aimee","Petersohn","1995-10-25","Senior Engineer",40000,"9999-01-01"
11275,"Hitomi","Eppinger","1998-04-25","Senior Engineer",58382,"9999-01-01"
11290,"Visit","Dredge","1999-05-13","Engineer",65034,"9999-01-01"
11295,"Abdelkader","Lanzelotte","1990-05-15","Senior Staff",66622,"9999-01-01"
11319,"Pranas","Marrakchi","1998-11-01","Assistant Engineer",40000,"9999-01-01"
11320,"Atilio","McAlpine","1998-04-06","Senior Staff",45118,"9999-01-01"
11322,"Nathalie","Pocchiola","1999-07-08","Senior Engineer",43021,"9999-01-01"
11324,"Kauko","Billingsley","1985-08-29","Senior Engineer",54288,"9999-01-01"
11338,"Kwangsub","Hanratty","1998-10-28","Senior Staff",82210,"9999-01-01"
11339,"Flemming","Massonet","1989-12-19","Senior Engineer",40000,"9999-01-01"
11347,"Anneli","Jonsson","1992-04-19","Senior Engineer",41524,"9999-01-01"
11365,"Toshimi","Shinomoto","1997-12-18","Engineer",56463,"9999-01-01"
11376,"Valery","Suomi","1994-03-14","Senior Staff",46964,"9999-01-01"
11380,"Kenroku","Pelc","2001-04-18","Senior Engineer",53345,"9999-01-01"
11385,"Shiv","Ullian","1999-08-08","Engineer",40000,"9999-01-01"
11386,"Alselm","Assaf","1993-11-29","Senior Engineer",47726,"9999-01-01"
11393,"Junsik","Junot","1992-04-30","Senior Engineer",40000,"9999-01-01"
11398,"Oscar","Peir","2001-09-07","Senior Staff",44625,"9999-01-01"
11404,"Bedrich","Borovoy","1990-09-25","Technique Leader",42907,"9999-01-01"
11415,"Sanjiv","Anido","1996-12-07","Engineer",40000,"9999-01-01"
11421,"Josyula","Msuda","1995-09-02","Senior Engineer",52416,"9999-01-01"
11441,"Marlo","Aingworth","1987-03-27","Senior Staff",67352,"9999-01-01"
11449,"Kotesh","Asser","2000-02-03","Senior Engineer",61434,"9999-01-01"
11459,"Duke","Suomi","1992-05-02","Senior Staff",40000,"9999-01-01"
11469,"Guttorm","Giaccio","1999-09-08","Senior Engineer",44625,"9999-01-01"
11506,"Rance","Picel","1996-04-08","Staff",89747,"9999-01-01"
11509,"Aleksander","Feldhoffer","1992-11-11","Senior Engineer",40000,"9999-01-01"
11513,"Otmar","Mahnke","1998-08-25","Senior Staff",82525,"9999-01-01"
11515,"Ulf","Basawa","1998-09-21","Staff",70182,"9999-01-01"
11518,"Jinxi","Oxman","1999-09-22","Senior Staff",40000,"9999-01-01"
11524,"Xiadong","Standera","1996-07-05","Senior Engineer",41081,"9999-01-01"
11527,"Alagu","Boyle","1999-01-28","Staff",60212,"9999-01-01"
11528,"Zito","Dolinsky","1987-06-15","Technique Leader",44026,"9999-01-01"
11537,"DAIDA","Pehl","1986-07-06","Senior Staff",96023,"9999-01-01"
11554,"Subhash","Taubenfeld","1998-07-15","Staff",46065,"9999-01-01"
11555,"Kotesh","Perfilyeva","1991-10-14","Senior Staff",40000,"9999-01-01"
11567,"Teiji","Mitzlaff","1996-02-03","Senior Staff",86261,"9999-01-01"
11568,"Martins","Fujisaki","2000-03-13","Senior Engineer",54673,"9999-01-01"
11603,"Herb","Swen","1994-04-13","Senior Staff",69180,"9999-01-01"
11607,"Tomokazu","Foong","1995-04-19","Engineer",49584,"9999-01-01"
11615,"Shem","Isaak","2000-08-28","Senior Staff",46591,"9999-01-01"
11624,"Adil","Gammage","1996-07-15","Senior Engineer",42001,"9999-01-01"
11628,"Fan","Malinowski","1997-10-23","Senior Engineer",43966,"9999-01-01"
11640,"Valeri","Coorg","1988-09-26","Senior Engineer",52520,"9999-01-01"
11647,"Magy","Nitsche","1993-05-11","Senior Engineer",40000,"9999-01-01"
11660,"Gill","Stenning","1994-11-22","Senior Staff",65758,"9999-01-01"
11673,"Henk","Felder","1989-06-10","Technique Leader",40000,"9999-01-01"
11676,"Valeri","Ferriere","1998-07-15","Engineer",43310,"9999-01-01"
11681,"Fumitake","Benzmuller","1995-08-28","Senior Engineer",40000,"9999-01-01"
11684,"Oksana","Gide","1995-02-21","Senior Staff",68753,"9999-01-01"
11696,"Dante","Rothe","1994-10-23","Senior Staff",51633,"9999-01-01"
11732,"Sanjoy","Ranft","1996-12-22","Senior Engineer",40000,"9999-01-01"
11735,"Amalendu","Picci","1997-07-14","Senior Staff",40000,"9999-01-01"
11746,"Koichi","Marrakchi","1995-11-18","Senior Staff",55951,"9999-01-01"
11751,"Jiafu","Emiris","1993-11-03","Senior Staff",40000,"9999-01-01"
11764,"Sanjay","Anick","1996-12-15","Senior Engineer",64875,"9999-01-01"
11769,"Chandrasekaran","Lampe","2001-10-22","Senior Staff",40000,"9999-01-01"
11772,"Gaurav","Penz","1999-11-07","Engineer",61295,"9999-01-01"
11797,"Chenxi","Thambidurai","1996-08-30","Senior Staff",88050,"9999-01-01"
11810,"Amabile","Bhattacharjee","1992-01-05","Senior Engineer",41256,"9999-01-01"
11817,"Niranjan","Markovitch","1993-04-12","Senior Staff",50638,"9999-01-01"
11832,"Arto","Zlotek","1996-02-04","Engineer",40000,"9999-01-01"
11844,"Shawna","Demeyer","1995-01-27","Senior Engineer",78049,"9999-01-01"
11853,"Zeljko","Kusakabe","1996-11-17","Senior Staff",61941,"9999-01-01"
11857,"Divier","Farrag","1986-08-27","Senior Staff",94805,"9999-01-01"
11864,"Pradeep","Kriebel","1995-11-02","Staff",52517,"9999-01-01"
11871,"Nalini","Sommen","1998-10-13","Senior Engineer",67424,"9999-01-01"
11872,"Cheong","Riexinger","2002-02-12","Senior Staff",43159,"9999-01-01"
11894,"Mitchel","Validov","1988-06-22","Senior Engineer",56198,"9999-01-01"
11897,"Cordelia","Setlzner","1997-06-16","Senior Staff",80049,"9999-01-01"
11906,"Hideo","Boguraev","1999-02-07","Engineer",81324,"9999-01-01"
11915,"Miomir","Mawatari","2001-06-28","Senior Engineer",58042,"9999-01-01"
11931,"Gunilla","Chiodo","2000-01-13","Senior Staff",73369,"9999-01-01"
11933,"Basil","Erman","1992-06-12","Senior Engineer",56130,"9999-01-01"
11949,"Martijn","Harbusch","1985-03-11","Technique Leader",40000,"9999-01-01"
11983,"Jaana","Hedayat","1994-10-11","Senior Engineer",40000,"9999-01-01"
11993,"Marit","Dalphin","1996-10-22","Senior Staff",56505,"9999-01-01"
12011,"Zhilian","Coorg","1997-07-22","Senior Staff",85833,"9999-01-01"
12036,"Mads","Ratzlaff","1995-09-05","Senior Staff",67143,"9999-01-01"
12037,"Arunas","Katzenelson","1992-09-30","Senior Staff",47805,"9999-01-01"
12050,"Yuchang","Tchuente","1996-04-01","Engineer",46704,"9999-01-01"
12062,"Margareta","Worfolk","1996-01-04","Senior Staff",44199,"9999-01-01"
12069,"Ayonca","Burnard","1995-05-13","Senior Engineer",51928,"9999-01-01"
12070,"Ger","Shokrollahi","1988-11-14","Technique Leader",50233,"9999-01-01"
12076,"Karlis","Siprelle","1985-03-25","Senior Staff",75381,"9999-01-01"
12082,"Xinan","Yamaashi","1992-01-29","Senior Staff",72118,"9999-01-01"
12089,"Bilhanan","Socorro","1994-10-22","Senior Staff",46288,"9999-01-01"
12099,"Nobuyoshi","Kuzuoka","1999-02-15","Senior Staff",104610,"9999-01-01"
12112,"Satyanarayana","Avouris","1997-09-26","Senior Staff",76538,"9999-01-01"
12122,"Satoru","Krone","1992-07-23","Senior Engineer",46398,"9999-01-01"
12123,"Xiahua","Syrzycki","1994-07-18","Senior Staff",64879,"9999-01-01"
12125,"Shounak","Erman","1997-03-31","Engineer",41215,"9999-01-01"
12149,"Suebskul","Grandbois","1988-10-01","Senior Staff",109934,"9999-01-01"
12159,"Shem","Perly","1985-07-17","Senior Engineer",61210,"9999-01-01"
12165,"Xiaobin","Maquelin","1994-08-29","Senior Engineer",41951,"9999-01-01"
12183,"Harngdar","Iisaku","1998-04-04","Engineer",40000,"9999-01-01"
12192,"Feiyu","Klyachko","1991-09-02","Senior Engineer",41625,"9999-01-01"
12205,"Sushant","Rossi","1987-11-11","Senior Engineer",40000,"9999-01-01"
12206,"Barton","Janetzko","2001-03-27","Senior Engineer",40000,"9999-01-01"
12218,"Yaghout","Strooper","2000-03-11","Senior Engineer",40000,"9999-01-01"
12221,"Vincent","Melter","1991-09-16","Senior Engineer",56736,"9999-01-01"
12222,"Abdelwaheb","Holburn","1996-08-14","Senior Staff",55840,"9999-01-01"
12223,"Niteen","Koyama","1995-08-13","Senior Engineer",54459,"9999-01-01"
12247,"Subbu","Penttonen","1985-04-09","Technique Leader",59183,"9999-01-01"
12249,"Eldridge","Sadowski","1996-06-20","Senior Engineer",70099,"9999-01-01"
12256,"Guadalupe","Reghbati","1992-08-26","Senior Staff",40000,"9999-01-01"
12264,"Mart","Pagter","1998-01-09","Engineer",51816,"9999-01-01"
12270,"Shakhar","Kornyak","1996-08-19","Senior Staff",52840,"9999-01-01"
12272,"Behnaam","Grandbois","1992-12-07","Senior Staff",43811,"9999-01-01"
12308,"Mototsugu","Cronau","1991-08-11","Senior Staff",58741,"9999-01-01"
12311,"Susanne","Lubachevsky","1985-10-22","Senior Engineer",40000,"9999-01-01"
12327,"DAIDA","Bruckman","1992-10-15","Senior Engineer",67449,"9999-01-01"
12341,"Rasiah","Luga","1990-05-25","Senior Engineer",40000,"9999-01-01"
12343,"Sorina","Slaats","1997-08-25","Senior Staff",52134,"9999-01-01"
12365,"Kamakshi","Bisiani","1994-09-12","Senior Engineer",40000,"9999-01-01"
12373,"Mooi","Driscoll","1993-11-11","Senior Staff",75986,"9999-01-01"
12395,"Sanjit","Felder","1995-06-05","Senior Staff",66909,"9999-01-01"
12399,"Mihalis","Luga","1996-12-06","Senior Staff",85582,"9999-01-01"
12411,"Shao","Ibel","1991-08-17","Senior Staff",97610,"9999-01-01"
12413,"Hugh","Gadepally","1999-03-04","Senior Engineer",53179,"9999-01-01"
12417,"Dannz","Spelt","1998-02-02","Senior Engineer",67342,"9999-01-01"
12422,"Berhard","Demos","2001-06-07","Senior Staff",71376,"9999-01-01"
12454,"Kerryn","Farris","1998-12-18","Staff",41347,"9999-01-01"
12464,"Shai","Milicic","1998-06-01","Staff",50448,"9999-01-01"
12475,"Filipe","Roison","1996-04-25","Senior Engineer",40000,"9999-01-01"
12487,"Mona","Reghbati","1998-12-07","Senior Staff",40000,"9999-01-01"
12489,"Arnould","Munck","1986-04-11","Senior Engineer",63306,"9999-01-01"
12490,"Jackson","Muchinsky","2000-05-08","Senior Engineer",40000,"9999-01-01"
12497,"Stein","Penz","1997-09-25","Senior Staff",81191,"9999-01-01"
12501,"Morrie","Matheson","1986-06-05","Senior Staff",76082,"9999-01-01"
12504,"Adly","Rosaz","1997-08-14","Engineer",40000,"9999-01-01"
12514,"Tomofumi","Melter","1999-11-13","Engineer",54241,"9999-01-01"
12528,"Conor","Cincotta","1997-09-24","Senior Staff",40000,"9999-01-01"
12534,"Yongmao","Gerlach","1985-08-14","Senior Engineer",66715,"9999-01-01"
12541,"Shih","Nanard","1996-08-31","Senior Staff",93105,"9999-01-01"
12542,"Kazuhide","Bouloucos","1993-09-11","Senior Staff",44176,"9999-01-01"
12551,"Jeane","Tzvieli","1993-12-03","Senior Engineer",40000,"9999-01-01"
12553,"Aral","Vesna","1987-02-28","Senior Staff",40000,"9999-01-01"
12557,"Stafford","Kopetz","1988-03-20","Senior Engineer",41840,"9999-01-01"
12589,"Anoosh","Chleq","1997-09-08","Senior Engineer",59441,"9999-01-01"
12596,"Breannda","Roisin","1996-09-29","Senior Staff",40000,"9999-01-01"
12601,"Ghassan","Simkin","2002-07-09","Senior Engineer",41714,"9999-01-01"
12608,"Nectarios","Mondadori","2000-02-22","Senior Staff",40000,"9999-01-01"
12635,"Xinyu","Restivo","2000-02-03","Senior Engineer",40000,"9999-01-01"
12638,"Yuqun","Seiwald","1999-04-29","Engineer",56677,"9999-01-01"
12642,"Suebskul","Gips","2001-10-28","Senior Staff",68271,"9999-01-01"
12651,"Pragnesh","Bael","1988-01-27","Senior Staff",75150,"9999-01-01"
12662,"Leucio","Alvarado","1994-08-27","Engineer",69016,"9999-01-01"
12663,"Nobuyoshi","Stellhorn","1986-09-29","Technique Leader",49966,"9999-01-01"
12664,"Zhonghua","Parveen","1999-08-04","Staff",40000,"9999-01-01"
12689,"Luerbio","Boudaillier","2001-11-23","Senior Engineer",59689,"9999-01-01"
12691,"Oddvar","Gils","1998-08-25","Senior Engineer",48493,"9999-01-01"
12697,"Uri","Brizzi","1994-07-11","Senior Staff",40000,"9999-01-01"
12709,"Ronghao","Botman","2001-02-25","Senior Engineer",45510,"9999-01-01"
12717,"Tzu","Jiafu","1999-10-20","Staff",53194,"9999-01-01"
12722,"Elliott","Cheshire","1985-03-29","Senior Staff",62325,"9999-01-01"
12726,"Fumitake","Panwar","1994-05-19","Senior Engineer",61177,"9999-01-01"
12729,"Nahla","Rahier","1997-10-15","Senior Engineer",51796,"9999-01-01"
12731,"Yongmao","Waymire","1988-04-05","Senior Staff",40000,"9999-01-01"
12732,"Mara","Takanami","1988-04-06","Senior Staff",74436,"9999-01-01"
12734,"Gil","Frijda","1986-03-03","Senior Engineer",40000,"9999-01-01"
12755,"Rildo","Rodite","1994-03-18","Senior Staff",40196,"9999-01-01"
12773,"Jenwei","Lovengreen","1994-03-05","Senior Engineer",65556,"9999-01-01"
12790,"Gunilla","Perl","2000-08-07","Senior Staff",87760,"9999-01-01"
12795,"Masoud","Fordan","1997-06-23","Senior Staff",56969,"9999-01-01"
12798,"Lillian","Beeson","1996-12-26","Senior Staff",81145,"9999-01-01"
12803,"Gad","Boissier","1990-03-16","Senior Staff",91789,"9999-01-01"
12815,"Sushant","Junot","1993-02-27","Senior Staff",65073,"9999-01-01"
12819,"Mountaz","Gubsky","1996-09-09","Senior Engineer",48455,"9999-01-01"
12848,"Kazuhide","Smeets","1997-05-11","Engineer",40000,"9999-01-01"
12863,"Leif","Matheson","1990-09-06","Senior Engineer",62803,"9999-01-01"
12872,"Marl","Schmittgen","1993-09-09","Senior Staff",56040,"9999-01-01"
12879,"Baruch","Eugenio","1995-06-11","Senior Engineer",40000,"9999-01-01"
12890,"Neven","Casley","1985-10-31","Senior Staff",66803,"9999-01-01"
12893,"Licheng","Crouzet","1995-03-18","Senior Staff",50803,"9999-01-01"
12895,"Roddy","Serot","1993-08-15","Senior Engineer",40000,"9999-01-01"
12905,"Munehiro","Gecsei","1993-07-18","Senior Engineer",58659,"9999-01-01"
12926,"Heekeun","Luby","1992-12-24","Senior Staff",68314,"9999-01-01"
12940,"Odinaldo","Farrar","1992-12-11","Senior Engineer",49760,"9999-01-01"
12941,"Tommaso","Perelgut","1995-11-06","Senior Engineer",67069,"9999-01-01"
12949,"Geoff","Asrin","1992-02-12","Senior Engineer",40000,"9999-01-01"
12977,"Byong","Markovitch","1992-08-23","Senior Engineer",61326,"9999-01-01"
12983,"Elliott","Hambrick","1999-06-28","Staff",57252,"9999-01-01"
13030,"Yahiko","Kroll","1999-11-25","Senior Staff",51770,"9999-01-01"
13046,"Vivian","Stafford","1987-04-19","Senior Staff",40000,"9999-01-01"
13047,"Atilio","Chelton","1997-02-25","Senior Engineer",52323,"9999-01-01"
13075,"Rosella","Morrin","1991-08-17","Senior Staff",40000,"9999-01-01"
13076,"Deniz","Skafidas","1995-01-28","Engineer",50582,"9999-01-01"
13096,"Ibibia","Armand","2001-04-22","Senior Engineer",52544,"9999-01-01"
13103,"Srinidhi","Ellozy","1988-06-19","Senior Engineer",40000,"9999-01-01"
13124,"Quingbo","Garnick","1985-03-17","Senior Staff",73785,"9999-01-01"
13133,"Guther","Senzako","1991-09-03","Senior Staff",67777,"9999-01-01"
13134,"Lorien","Chepyzhov","1993-10-22","Senior Engineer",51227,"9999-01-01"
13144,"Persi","Nollmann","1997-06-19","Senior Staff",52825,"9999-01-01"
13146,"Haldon","Erie","1985-05-25","Senior Staff",61398,"9999-01-01"
13147,"Shichao","Ginesta","1998-06-29","Senior Staff",77429,"9999-01-01"
13156,"Akeel","Millington","2000-08-18","Senior Engineer",48285,"9999-01-01"
13165,"Lucian","Benner","1995-03-17","Senior Engineer",42796,"9999-01-01"
13168,"Munir","Stentiford","1992-09-10","Senior Engineer",49210,"9999-01-01"
13170,"Cheong","Bernardeschi","1998-01-09","Senior Staff",49012,"9999-01-01"
13171,"Anoosh","Birnbaum","1995-08-31","Senior Engineer",40000,"9999-01-01"
13173,"Arve","Horswill","1996-09-23","Senior Staff",46354,"9999-01-01"
13179,"Moty","Janocha","1999-02-19","Staff",90233,"9999-01-01"
13182,"Kokou","Rodite","1999-03-03","Engineer",46832,"9999-01-01"
13186,"Kyoichi","Barbanera","1995-04-29","Senior Staff",93138,"9999-01-01"
13192,"Rosita","Flowers","1993-02-01","Technique Leader",43986,"9999-01-01"
13202,"Aram","Scharstein","1992-03-28","Senior Staff",51915,"9999-01-01"
