"emp_no","first_name","last_name","gender","salary"
12638,"Yuqun","Seiwald","F",56677
12642,"Suebskul","Gips","F",68271
12651,"Pragnesh","Bael","M",75150
12848,"Kazuhide","Smeets","M",40000
12662,"Leucio","Alvarado","M",69016
12863,"Leif","Matheson","M",62803
12872,"Marl","Schmittgen","F",56040
12879,"Baruch","Eugenio","M",40000
12890,"Neven","Casley","F",66803
12893,"Licheng","Crouzet","M",50803
12895,"Roddy","Serot","M",40000
12905,"Munehiro","Gecsei","M",58659
12926,"Heekeun","Luby","M",68314
12940,"Odinaldo","Farrar","F",49760
12941,"Tommaso","Perelgut","F",67069
12949,"Geoff","Asrin","F",40000
12977,"Byong","Markovitch","M",61326
12983,"Elliott","Hambrick","F",57252
13030,"Yahiko","Kroll","M",51770
13046,"Vivian","Stafford","M",40000
13047,"Atilio","Chelton","M",52323
13075,"Rosella","Morrin","M",40000
13076,"Deniz","Skafidas","F",50582
13096,"Ibibia","Armand","M",52544
13103,"Srinidhi","Ellozy","F",40000
13124,"Quingbo","Garnick","F",73785
13133,"Guther","Senzako","M",67777
13134,"Lorien","Chepyzhov","M",51227
13144,"Persi","Nollmann","M",52825
13146,"Haldon","Erie","M",61398
13147,"Shichao","Ginesta","M",77429
13156,"Akeel","Millington","M",48285
13165,"Lucian","Benner","F",42796
13168,"Munir","Stentiford","F",49210
13170,"Cheong","Bernardeschi","M",49012
13171,"Anoosh","Birnbaum","M",40000
13173,"Arve","Horswill","M",46354
13179,"Moty","Janocha","M",90233
13182,"Kokou","Rodite","M",46832
13186,"Kyoichi","Barbanera","M",93138
13192,"Rosita","Flowers","M",43986
13202,"Aram","Scharstein","F",51915
13210,"Jianhua","Klassen","M",83961
13213,"Hein","Billawala","M",61131
13232,"Mitchel","Fujisaki","F",40000
13233,"Alselm","Chvatal","M",49414
13238,"Ebru","Foote","F",40000
13240,"King","Pileggi","M",49018
13250,"Zeydy","Schusler","M",47829
13272,"Arun","Jiang","F",40000
13276,"Yechiam","Seuren","M",65836
13288,"Muneo","Broomell","F",40000
13291,"Georg","Stamatiou","M",54720
13302,"Mack","Alencar","F",40000
13315,"Sakthirel","Stroustrup","F",40000
13332,"Nidapan","Pearson","F",40000
13333,"Yoshinari","Hennebert","M",50997
13341,"Bodh","Doering","F",40000
13343,"Heon","Usery","M",40000
13368,"Kiyokazu","Klassen","M",52872
13371,"Nakhoon","Riexinger","F",40000
13373,"Juichirou","Naumovich","M",82749
13385,"Claudi","Buchter","M",40000
13386,"Khosrow","Sgarro","F",91420
13389,"Divine","Cmelik","F",40000
13392,"Fumitake","Beidas","F",69221
13396,"Chuanyi","Aumann","F",40000
13402,"Augustine","Dulli","M",40000
13405,"Randy","Baba","F",60799
13407,"Gio","Chenoweth","M",60348
13408,"Sreekrishna","Lagarias","M",52479
13415,"Nathalie","Speer","F",61838
13422,"Vishwani","Gerlach","F",59466
13442,"Giordano","Miake","M",40000
13443,"Mayuko","Puppo","M",40000
13445,"Renee","Dehkordi","M",53194
13451,"Gretta","Weiland","M",40000
13457,"Shooichi","Parfitt","M",40812
13458,"Feipei","Nivat","F",41375
13463,"Theron","Berstel","F",40000
13465,"Sasan","Rehfuss","M",49821
13493,"Uinam","Jullig","F",40000
13504,"Parto","Mandell","F",41895
13524,"Chaoyi","Porotnikoff","F",52849
13535,"Arunas","Schlenzig","F",40000
13546,"Aimee","Brookner","F",50295
13549,"Matk","Koprowski","M",40000
13552,"Ingmar","Capobianchi","M",73346
13576,"Jungsoon","Engberts","F",73022
13605,"Dmitry","Encarnacion","F",70404
13621,"Fei","Haddadi","M",73192
13624,"Zhigen","Yurek","M",40000
13629,"Dzung","Trelles","M",40000
13648,"Zejun","Lamba","F",47723
13653,"Kristen","Iivonen","M",53242
13670,"Moti","Takanami","F",40000
13680,"Denny","Speer","M",46968
13685,"Weicheng","Hockney","F",48322
13697,"Shuichi","Weedon","M",40000
13704,"Vishu","Kumaresan","F",40000
13721,"Sugwoo","Delgrossi","F",64754
13727,"Vitali","Merey","M",50798
13738,"Bangqing","Mitchem","F",48349
13766,"Tremaine","Heemskerk","M",43748
13769,"Yakichi","Trogemann","F",61025
13775,"Arve","Maierhofer","M",70161
13786,"Takushi","Berendt","F",74494
13787,"Xiaobin","Sinicrope","F",40000
13792,"Valery","Sury","M",59127
13796,"Paloma","Thorelli","M",50962
13809,"Kiyotoshi","Basagni","M",43735
13815,"Guadalupe","Plotkin","M",40000
13825,"Arlette","Pell","M",54704
13841,"Christophe","Spinelli","M",52277
13842,"Juichirou","Cichocki","F",40000
13846,"Guiseppe","Welham","M",61097
13853,"Mingsen","Roohalamini","M",61615
13859,"Anoosh","Fujisawa","M",40000
13884,"Kensei","Swift","M",44785
13894,"Ult","Schonegge","F",48958
13904,"Youngkon","Cairo","M",73885
13934,"Shiv","Bratsberg","F",46507
13942,"Elzbieta","Esteva","M",40000
13951,"Mooi","Genther","F",82054
13960,"Nechama","Hettesheimer","M",43204
13962,"Maris","Ghelli","M",67965
13966,"Boguslaw","Cooman","F",40000
13969,"Jianwen","Chandrasekhar","F",60392
13990,"Deborah","Schapiro","F",52723
13992,"Ulises","Kenevan","M",81318
13999,"Florian","Crouzet","M",40000
14005,"Vojin","Stellhorn","M",40000
14015,"Manibrata","Picaronny","M",63084
14034,"Aloys","Seghrouchni","M",69700
14041,"Shan","DeMori","F",63235
14067,"Godehard","Trachtenberg","M",44669
14088,"Mori","Leslie","M",44821
14107,"Xiahua","Rindone","M",82396
14111,"Leszek","Cummings","F",52696
14118,"Kasturi","Anido","M",46248
14167,"Adas","Hertweck","F",40000
14191,"Jiann","Luby","F",40155
14209,"Masanao","Kusakabe","F",40000
14220,"Tomofumi","Pargas","F",68017
14232,"Masali","Bojadziev","M",50568
14236,"Xuedong","Angiulli","F",40000
14237,"Abdulla","Gerlach","F",57219
14242,"Sudhanshu","Benaini","F",40000
14257,"Kwok","Massonet","F",40000
14290,"Miyeon","Olivero","M",78736
14292,"Susanna","Vigier","F",41846
14298,"Chriss","Granlund","F",40000
14310,"Marlo","Leuchs","M",40000
14320,"Sreenivas","Schaar","M",40000
14322,"Shem","Kakkad","M",50363
14323,"Golgen","Leslie","F",40000
14340,"Vitaly","Wixon","M",42858
14344,"Otilia","Buescher","F",41979
14354,"Mong","Bojadziev","M",40000
14360,"Janche","Erbe","M",43476
14372,"Saniya","Srimani","F",57667
14384,"Tomofumi","Holburn","F",58260
14422,"Toshimo","Gadepally","M",59001
14434,"Elvis","Maginnis","M",40000
14439,"Raimond","Woycyznski","M",80654
14460,"Yagil","Lueh","F",56267
14478,"Munehiro","Boissier","F",40000
14481,"Moti","Lammel","M",40000
14483,"Supot","Marrevee","M",40000
14486,"Indrajit","Birdsall","M",40000
14498,"Xiong","Selenyi","M",40000
14501,"Taizo","Kroft","M",63646
14509,"Danil","Aloia","M",40000
14513,"Samphel","Barreiro","M",83273
14515,"Kazuhisa","Versino","F",61645
14516,"Kristian","Underwood","F",73262
14518,"Patricia","Peir","M",64238
14522,"Chuanyi","Ranta","F",40000
14537,"Babette","Engelmann","F",48332
14552,"Ibibia","Snyers","M",40000
14556,"Fatemeh","Zultner","M",40000
14560,"Elrique","Driscoll","M",62770
14581,"Gao","Condotta","F",59499
14582,"Kiyokazu","Morrin","M",40000
14600,"Jayson","Cairo","F",41352
14603,"Lech","Marquardt","M",55369
14607,"Suzette","Selvestrel","M",67813
14620,"Jianhua","Erev","F",53303
14621,"Souichi","Wixon","F",66404
14632,"Gudjon","McClurg","M",40000
14639,"Arvind","Hempstead","F",79405
14640,"Toshimori","Kornatzky","M",42662
14642,"Florian","Kuhnemann","F",54553
14645,"Laurentiu","Glinert","F",45647
14648,"IEEE","Lorys","M",89209
14659,"Sashi","Adachi","F",40926
14675,"Teunis","Angel","F",40000
14677,"Herbert","Sifakis","M",40000
14683,"Alois","Basart","M",41107
14690,"Yechezkel","Bellone","F",40000
14693,"Brewster","Stranks","F",59960
14710,"Mahmut","Hainaut","F",40341
14723,"Constantino","Assaf","M",40000
14724,"Aron","Lemarechal","M",66530
14780,"Marlo","Bruckman","F",51232
14785,"Zhonghua","Kaiser","M",46936
14793,"Stein","Uchoa","M",47045
14814,"Odysseas","Nishimukai","M",40000
14817,"Gaurav","Masaki","M",41203
14821,"Oguz","Kilgore","M",42545
14839,"Changho","Cronin","M",40000
14853,"Taiji","Nergos","F",58311
14877,"Arto","Meriste","M",40000
14879,"Anyuan","Sigstam","M",54322
14888,"Temple","Barriga","F",60916
14899,"Alejandro","Casley","M",64365
14906,"Adil","Parveen","F",54758
14908,"Kerhong","Flanders","F",40000
14909,"Mohan","Kamble","M",40000
14911,"Xiaobin","Chelton","F",62738
14914,"Gretta","Benzaken","F",40000
14915,"Huican","Picco","M",40733
14923,"Shuzo","Gyorkos","M",40000
14928,"Satoru","Mukaidono","F",53377
14941,"Nathan","Lichtner","M",43608
14942,"Heon","Benveniste","M",40000
14949,"Insup","Reinhart","F",44930
14954,"Fox","Magliocco","F",43510
14971,"Fan","Simmen","M",55187
14983,"Hyuckchul","Pouyioutas","M",86754
14993,"Sanjay","Koblitz","M",45407
15005,"Kiam","Sadowsky","M",50368
15016,"Woody","Gulik","F",40000
15018,"Ramalingam","Prenel","F",40668
15019,"Qingxiang","Shokrollahi","F",41721
15029,"Giordano","Koshino","M",40000
15030,"Rasikan","Nourani","M",40000
15036,"Ziva","Delgrande","M",40000
15049,"Khun","Waymire","F",40000
15052,"Flemming","Kranzdorf","M",40630
15055,"Shrikanth","Sherertz","M",40000
15066,"Tomokazu","Oaver","M",43455
15069,"Manton","Siksek","M",40000
15071,"Ayonca","Couchot","F",97484
15075,"Radoslaw","Rijsenbrij","M",40000
15077,"Toshiki","Taubenfeld","F",40000
15082,"Guadalupe","Zirintsis","F",63024
15087,"Chirstian","Ushiama","F",40000
15089,"Giri","Coney","F",48594
15092,"Remmert","Bahi","F",40000
15102,"Luigi","Axelband","F",40374
15105,"Sudhanshu","Itzigehl","M",75800
15114,"Pantung","Honglei","M",40000
15134,"Arun","Luiz","F",62752
15145,"Haldon","Servieres","M",51443
15151,"Urs","Pouyioutas","F",61253
15176,"Charlene","Sankaranarayanan","M",98401
15193,"Neelam","Schach","M",47039
15196,"Souichi","Duclos","M",55824
15202,"Pranay","Irland","M",40000
15208,"Sudharsan","Shokrollahi","F",44109
15218,"Shuky","Conry","M",44614
15228,"Mona","Salvesen","M",40000
15230,"Keiichiro","Suessmith","F",70187
15234,"Jouko","Zhiwei","F",47654
15237,"Reinhard","Sadowsky","M",40000
15243,"Mountaz","Famili","F",41015
15248,"Edwin","Baar","M",64696
15253,"Ayonca","Pardalos","M",40396
15269,"Eric","Reghbati","F",60930
15271,"Shiv","Bernardeschi","F",88026
15292,"Miyeon","Lammel","M",87586
15324,"Ziya","Lunn","M",40000
15329,"Fan","Openshaw","F",41839
15330,"Jaroslava","Chinal","M",53020
15337,"Masaru","Radivojevic","M",40000
15343,"Chaosheng","Luce","F",48936
15354,"Chikara","Nyrup","M",40782
15365,"Mikhail","Schiettecatte","M",41309
15369,"Premal","Penttonen","F",81954
15370,"Chuanyi","Nilsson","F",67631
15372,"Nahum","Broder","M",79245
15375,"Shuho","Manders","F",65920
15377,"Shugo","Aumann","M",50274
15382,"Alassane","Siegrist","M",66083
15392,"Pradeep","Markovitch","M",55638
15408,"Maik","Penttonen","F",40000
15410,"Wilmer","Kushner","F",58123
15412,"Huai","Thiria","M",62190
15438,"Constantijn","Munoz","F",43326
15441,"Arvind","Weisert","F",40000
15452,"Kazuhira","Weedman","M",40000
15454,"Hongzue","Cesareni","F",57571
15470,"Weiwu","Huhdanpaa","M",40693
15474,"Gilbert","Plumb","M",90430
15479,"Zhenbing","Soicher","M",40000
15480,"Kwok","Trogemann","M",47645
15504,"Kasturi","Alpin","M",40000
15505,"Collette","Mikschl","F",56848
15510,"Inderjeet","Sethi","M",48661
15511,"George","Kowalchuk","F",76880
15518,"Uno","Valtorta","F",55563
15525,"Masadi","Cherinka","M",40000
15534,"Guozhong","Grabner","F",63090
15543,"Mingdong","Staelin","F",40000
15548,"Sanjai","Caine","M",48171
15563,"Constantino","Zykh","M",56239
15565,"True","Muchinsky","M",73532
15566,"Baoqiu","Azuma","M",61655
15600,"Mack","Perna","M",40000
15601,"Carrsten","Anily","F",83263
15651,"Huan","Iwayama","F",50313
15656,"Mohammad","Schaaf","M",66141
15682,"Hiroyasu","Przulj","M",40000
15687,"Dekang","Ambroszkiewicz","M",62333
15703,"Chenye","Hanratty","M",40000
15708,"Reuven","Kushnir","F",85063
15714,"Troy","Bala","F",40000
15715,"Insup","Ibel","F",40000
15726,"Zhilian","Parascandalo","M",70522
15739,"Poorav","Bahr","F",54605
15740,"Stepehn","Pocchiola","M",57994
15750,"Arumugam","Bresenham","M",40000
15765,"Tonny","Taubenfeld","F",40000
15767,"Baocai","Broomell","M",40000
15769,"Pranay","Oskamp","M",61575
12663,"Nobuyoshi","Stellhorn","M",49966
15788,"Taegyun","Deyuan","M",53521
15799,"Manton","Gelosh","M",64458
15809,"Mingsen","Antonisse","M",50619
12664,"Zhonghua","Parveen","M",40000
12689,"Luerbio","Boudaillier","M",59689
15819,"Magdalena","Rajcani","M",63847
15821,"Aleksander","Antonakopoulos","M",40000
15846,"Bowen","Litecky","M",40000
12691,"Oddvar","Gils","M",48493
12697,"Uri","Brizzi","M",40000
15861,"Gio","Anido","F",50890
15866,"Angel","Seiwald","M",40000
15869,"Guoxiang","Bala","M",40000
12709,"Ronghao","Botman","M",45510
15876,"Munehiro","Vakili","F",51140
15877,"Yannik","Kroll","M",40000
15880,"Miquel","Dechter","M",40000
15889,"Sasan","Azumi","M",63393
15892,"Lunjin","Pettis","F",60367
15901,"Marsja","Fargier","F",40000
15902,"Kazuhide","Stille","F",40000
15905,"DeForest","Petersohn","F",47421
12717,"Tzu","Jiafu","F",53194
15911,"Shaibal","Viele","M",45602
12722,"Elliott","Cheshire","F",62325
12726,"Fumitake","Panwar","M",61177
12729,"Nahla","Rahier","F",51796
15934,"Kensyu","Shinomoto","F",50454
12731,"Yongmao","Waymire","F",40000
15938,"Garnik","Covnot","F",69499
15942,"Murthy","Rosca","M",50486
15943,"Yakkov","Demke","M",40000
12732,"Mara","Takanami","M",74436
15945,"Hauke","Larfeldt","M",57717
15948,"Karoline","Versino","F",40000
12734,"Gil","Frijda","M",40000
15955,"Yuguang","Dratva","F",45283
12755,"Rildo","Rodite","F",40196
15971,"Arumugam","Aloia","M",42963
15977,"King","Ballarin","M",44282
15978,"Kaijung","Wielonsky","F",40000
15993,"Yoshimitsu","Peir","M",45611
16000,"Marek","Demos","F",40000
16018,"Boutros","Papadias","M",52560
12773,"Jenwei","Lovengreen","M",65556
16019,"Chaoyi","Heystek","F",40000
16025,"Doowon","Luce","F",84433
16028,"JiYoung","Takkinen","F",53714
16033,"Wayne","Spelt","F",40000
16052,"Maria","Rodham","F",40000
16066,"Marsha","Penn","F",74757
16068,"Leandro","Zongker","M",53031
16126,"Tse","Crabtree","M",68863
16076,"Marko","Ebeling","M",47061
16077,"Kannan","Heemskerk","F",49020
16086,"Mohammad","Denos","M",42903
16094,"Berto","Rosar","M",40000
16099,"Mohan","Ferretti","M",40000
16130,"Kerryn","Belinskaya","M",40000
16134,"Annemarie","Chaudhuri","F",40000
16138,"Leucio","Krzyzanowski","M",67593
16154,"Monique","Docker","M",40000
16324,"Billie","Bazzichi","M",40000
16185,"Marin","Winter","F",44003
16337,"Hironoby","Schaad","M",40000
16341,"Boutros","Fendler","F",40000
16355,"Nikolaos","Luca","M",80403
16364,"Yifei","Gini","M",73503
16365,"Janalee","Mellouli","F",40000
16377,"Duri","Stanger","M",62147
16380,"Zhilian","Chleq","M",42820
16382,"Chaoyi","Talmon","M",66986
16383,"Lidong","Czap","F",55977
16388,"Subhankar","Georgatos","M",40000
16397,"Shimshon","Cusworth","F",66757
16398,"Limsoon","Krzyzanowski","M",71254
16192,"Leandro","Sigstam","M",40000
16399,"Apostol","Collette","F",59384
16404,"Rafols","Rabehasaina","M",45689
16412,"Moss","Tokunaga","F",66524
16201,"Krassimir","Olano","M",53081
16425,"Idoia","Beerel","M",53045
16227,"Hitomi","Vural","F",58619
16438,"Abdulla","Demeyer","M",52449
16446,"Jouko","Chinin","M",94600
16447,"Zhiguo","Savasere","F",40000
16448,"Tsvetan","Zwicker","M",76979
16453,"Goncalo","Basart","M",47433
16471,"Bogdan","Birta","M",44976
16229,"Ronnie","Lanzelotte","F",40000
16230,"Ung","Babu","M",40000
16233,"Sushant","Baba","M",54684
